request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"The full IDR 15,656,000 is safe to pay today: projected balance never drops below the IDR 24,768,300 minimum over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today for this purchase. Balance stays at or above the ZAR 20,500 minimum for the full 90-day outlook."
request_28,189.24,affordable_later,wait,2024-07-20:1302.40,2024-07-20,none,"The full EUR 1,302.40 for this contribution is not safe to pay yet, but the forecast shows it becomes safe by 20 July 2024 without needing any spending changes."
request_29,1855.42,not_affordable,not_recommended,none,,none,"This ZAR 51,524 contribution cannot be completed safely within 90 days: at most ZAR 1,855.42 is available today, ZAR 49,668.58 short of the full amount, with no supported installment or spending-change option that closes the gap."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Spread this USD 775.20 repayment across 3 installments of USD 268.74 beginning 6 April 2026 rather than paying in full; this is the safest plan that completes on time.
request_31,2700039.54,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 15 November 2024 to pay the full IDR 18,164,000. Paying sooner would push the balance below the IDR 16,588,900 minimum before then."
request_32,13339.36,not_affordable,not_recommended,none,,none,"This ZAR 40,018 trip cannot be completed safely within 90 days: at most ZAR 13,339.36 is available today, ZAR 26,678.64 short of the full amount, with no supported installment or spending-change option that closes the gap."
request_33,30731.19,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 118,000 housing payment yet. Only INR 30,731.19 can be paid today without risking the INR 102,100 minimum, and the remaining INR 87,268.81 is not projected to become safe within the 90-day forecast."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today for this trip. Balance stays at or above the INR 138,500 minimum for the full 90-day outlook."
request_35,22868.81,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026 to pay the full INR 212,000. Paying sooner would push the balance below the INR 106,400 minimum before then."
request_36,588.71,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 15 September 2026 to pay the full USD 3,954. Paying sooner would push the balance below the USD 2,400 minimum before then."
request_37,2804351.84,affordable_later,wait,2024-05-20:14649000,2024-05-20,none,"The full IDR 14,649,000 for this transfer is not safe to pay yet, but the forecast shows it becomes safe by 20 May 2024 without needing any spending changes."
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Wait until 15 October 2025 to pay the full EUR 971.30. Paying sooner would push the balance below the EUR 400 minimum before then.
request_39,57446.07,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"The full INR 208,600 for this housing payment is not safe to pay yet, but the forecast shows it becomes safe by 15 June 2026 without needing any spending changes."
request_40,355.73,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 1,290.30 course or program yet. Only EUR 355.73 can be paid today without risking the EUR 1,500 minimum, and the remaining EUR 934.57 is not projected to become safe within the 90-day forecast."
request_41,7644359.43,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026 to pay the full IDR 38,760,000. Paying sooner would push the balance below the IDR 25,366,600 minimum before then."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today for this expense. Balance stays at or above the INR 113,100 minimum for the full 90-day outlook."
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 15 November 2024 to pay the full IDR 43,339,000. Paying sooner would push the balance below the IDR 21,398,000 minimum before then."
request_44,30429.03,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 95,800 course or program yet. Only INR 30,429.03 can be paid today without risking the INR 82,900 minimum, and the remaining INR 65,370.97 is not projected to become safe within the 90-day forecast."
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026 to pay the full IDR 21,983,000. Paying sooner would push the balance below the IDR 11,149,800 minimum before then."
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,"Pay INR 35,318.22 today and the remaining INR 14,131.78 on 15 December 2024. Together these complete the INR 49,450 repayment while keeping the INR 84,000 minimum protected throughout."
request_47,1221224.89,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 38,114,000 expense yet. Only IDR 1,221,224.89 can be paid today without risking the IDR 30,049,000 minimum, and the remaining IDR 36,892,775.11 is not projected to become safe within the 90-day forecast."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"The full INR 45,700 is safe to pay today: projected balance never drops below the INR 71,300 minimum over the next 90 days."
request_49,12655596.66,not_affordable,not_recommended,none,2024-05-15,none,"This IDR 34,333,000 trip cannot be completed safely within 90 days: at most IDR 12,655,596.66 is available today, IDR 21,677,403.34 short of the full amount, with no supported installment or spending-change option that closes the gap."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"The full INR 43,900 is safe to pay today: projected balance never drops below the INR 99,700 minimum over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today for this contribution. Balance stays at or above the IDR 7,811,000 minimum for the full 90-day outlook."
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"The full INR 28,870 for this expense is not safe to pay yet, but the forecast shows it becomes safe by 15 June 2024 without needing any spending changes."
request_53,464.04,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with this USD 1,699.20 purchase yet. Only USD 464.04 can be paid today without risking the USD 2,100 minimum, and the remaining USD 1,235.16 is not projected to become safe within the 90-day forecast."
request_54,2083.52,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 121,528 housing payment yet. Only ZAR 2,083.52 can be paid today without risking the ZAR 37,000 minimum, and the remaining ZAR 119,444.48 is not projected to become safe within the 90-day forecast."
request_55,128738.85,not_affordable,not_recommended,none,2026-07-15,none,"This INR 218,600 transfer cannot be completed safely within 90 days: at most INR 128,738.85 is available today, INR 89,861.15 short of the full amount, with no supported installment or spending-change option that closes the gap."
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,Only USD 632.95 is safe to pay today toward this USD 881.56 purchase; the balance is projected to recover enough to safely cover the remaining USD 248.61 by 15 February 2025.
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"The full ZAR 61,446 for this course or program is not safe to pay yet, but the forecast shows it becomes safe by 15 June 2026 without needing any spending changes."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"The full IDR 16,226,000 is safe to pay today: projected balance never drops below the IDR 14,433,900 minimum over the next 90 days."
request_59,132758.53,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 140,600 contribution yet. Only INR 132,758.53 can be paid today without risking the INR 132,600 minimum, and the remaining INR 7,841.47 is not projected to become safe within the 90-day forecast."
